count,pt1_lat,pt1_lon,pt2_lat,pt2_lon
1970,47.4647,8.54917,53.4213,-6.27007
1963,51.2895,6.76678,53.6304,9.98823
1961,34.8751,33.6249,51.4775,-0.461389
1959,43.4393,5.22142,44.8283,-0.715556
1954,41.2753,28.7519,44.8184,20.3091
1950,40.4719,-3.56264,44.8283,-0.715556
1943,47.4298,19.2611,47.4647,8.54917
1943,51.8413,-8.49111,52.3086,4.76389
1938,51.4501,5.37453,51.885,0.235
1927,44.5711,26.085,52.1657,20.9671
1921,54.6341,25.2858,60.3172,24.9633
1907,43.6584,7.21587,48.3538,11.7861
1904,41.2356,-8.67806,50.0333,8.57056
1902,52.3086,4.76389,57.0928,9.84924
1894,32.6979,-16.7745,38.7813,-9.13592
1891,41.2971,2.07846,50.1008,14.26
1888,51.885,0.235,55.6179,12.656
1886,44.8283,-0.715556,51.1481,-0.190278
1885,46.9911,15.4396,50.0333,8.57056
1885,37.418,-5.89311,38.7813,-9.13592
1884,50.0777,19.7848,51.8747,-0.368333
1883,33.8209,35.4884,41.2753,28.7519
1881,43.6584,7.21587,50.0333,8.57056
1877,54.6341,25.2858,56.9236,23.9711
1873,51.885,0.235,52.4511,20.6518
1873,36.6749,-4.49911,41.2971,2.07846
1871,38.7813,-9.13592,49.6233,6.20444
1868,50.9014,4.48444,60.3172,24.9633
1866,40.8986,29.3092,50.0333,8.57056
1865,38.7813,-9.13592,53.4213,-6.27007
1863,50.0777,19.7848,51.885,0.235
1858,50.9014,4.48444,52.1657,20.9671
1856,41.2753,28.7519,44.5711,26.085
1855,41.2753,28.7519,50.9014,4.48444
1854,38.2822,-0.558156,52.8311,-1.32806
1852,44.8283,-0.715556,52.3086,4.76389
1851,45.66546,9.69948,50.8659,7.14274
1846,47.59,7.52916,48.3538,11.7861
1846,47.5986,7.5291,48.3538,11.7861
1835,41.2971,2.07846,45.66546,9.69948
1834,49.0097,2.54778,51.4239,12.2364
1834,41.8003,12.2389,45.8275,13.4722
1828,39.8626,4.21865,40.4719,-3.56264
1820,41.2753,28.7519,50.8659,7.14274
1820,32.0114,34.8867,52.3514,13.4939
1819,54.9644,9.79173,55.6179,12.656
1818,47.59,7.52916,49.0097,2.54778
1818,47.5986,7.5291,49.0097,2.54778
1817,47.5986,7.5291,50.0333,8.57056
1817,47.59,7.52916,50.0333,8.57056
1813,50.0333,8.57056,52.4539,-1.74803
1813,37.0144,-7.96591,51.8747,-0.368333
1812,51.8413,-8.49111,51.885,0.235
1811,39.5517,2.73881,59.6519,17.9186
1811,49.0097,2.54778,52.4611,9.68508
1810,32.0114,34.8867,52.1657,20.9671
1810,51.1481,-0.190278,54.6575,-6.21583
1809,41.2753,28.7519,45.6306,8.72811
1799,47.4298,19.2611,48.1103,16.5697
1798,39.5517,2.73881,53.8659,-1.66057
1797,37.0144,-7.96591,51.3827,-2.71909
1797,41.8003,12.2389,46.2381,6.10895
1793,52.4539,-1.74803,55.8719,-4.43306
1791,43.6291,1.36382,52.3086,4.76389
1789,32.0114,34.8867,47.4647,8.54917
1776,32.0114,34.8867,45.6306,8.72811
1776,38.7813,-9.13592,52.3514,13.4939
1776,51.8747,-0.368333,52.1657,20.9671
1771,52.1657,20.9671,60.1939,11.1004
1770,41.2971,2.07846,43.6584,7.21587
1766,38.7813,-9.13592,43.6291,1.36382
1765,45.4494,9.2783,52.3514,13.4939
1753,42.6967,23.4114,48.1103,16.5697
1753,41.8003,12.2389,45.5053,12.3519
1741,53.6304,9.98823,55.6179,12.656
1740,37.9364,23.9445,51.4775,-0.461389
1738,41.2971,2.07846,47.59,7.52916
1738,41.2971,2.07846,47.5986,7.5291
1737,44.8184,20.3091,50.0333,8.57056
1736,51.8747,-0.368333,55.8719,-4.43306
1735,32.0114,34.8867,48.3538,11.7861
1733,47.4298,19.2611,51.4775,-0.461389
1732,38.2822,-0.558156,51.4501,5.37453
1732,38.2822,-0.558156,53.8659,-1.66057
1726,45.5053,12.3519,48.7231,2.35944
1723,44.8184,20.3091,52.3086,4.76389
1722,41.2971,2.07846,48.6899,9.22196
1722,43.4393,5.22142,48.3538,11.7861
1720,52.1346,7.68483,52.2758,6.88917
1717,37.2506,27.6643,40.8986,29.3092
1715,40.4719,-3.56264,43.6584,7.21587
1715,50.0777,19.7848,52.3086,4.76389
1711,44.5354,11.2887,50.0333,8.57056
1709,51.885,0.235,54.6575,-6.21583
1707,41.2971,2.07846,60.1939,11.1004
1707,51.2895,6.76678,51.5053,0.055278
1702,44.5354,11.2887,52.3086,4.76389
1702,51.8369,-1.32,51.8942,-2.16722
1700,37.0144,-7.96591,48.7231,2.35944
1700,53.3537,-2.27495,54.0833,-4.62333
1699,53.8825,28.0307,55.4102,37.902
1697,41.2971,2.07846,51.8747,-0.368333
1694,41.1389,16.7606,45.5053,12.3519
1692,49.0097,2.54778,51.8747,-0.368333
1687,41.2971,2.07846,47.4298,19.2611
1683,32.0114,34.8867,40.4719,-3.56264
1680,40.8986,29.3092,47.4647,8.54917
1679,43.6291,1.36382,50.0333,8.57056
1677,45.5053,12.3519,51.885,0.235
1675,42.6967,23.4114,50.0333,8.57056
1674,46.2381,6.10895,53.3537,-2.27495
1673,53.3537,-2.27495,54.6181,-5.8725
